tournament_year,team_id,team_name,team_code,count_matches,performance
2018,T-22,Denmark,DNK,4,round of 16
2018,T-26,Egypt,EGY,3,group stage
2018,T-28,England,ENG,7,third-place match
2018,T-30,France,FRA,7,final
2018,T-31,Germany,DEU,3,group stage
2018,T-37,Iceland,ISL,3,group stage
2018,T-38,Iran,IRN,3,group stage
2018,T-44,Japan,JPN,4,round of 16
2018,T-46,Mexico,MEX,4,round of 16
2018,T-47,Morocco,MAR,3,group stage
2018,T-50,Nigeria,NGA,3,group stage
2018,T-54,Panama,PAN,3,group stage
2018,T-56,Peru,PER,3,group stage
2018,T-57,Poland,POL,3,group stage
2018,T-58,Portugal,PRT,4,round of 16
2018,T-62,Russia,RUS,5,quarter-finals
2018,T-63,Saudi Arabia,SAU,3,group stage
2018,T-65,Senegal,SEN,3,group stage
2018,T-66,Serbia,SRB,3,group stage
2018,T-71,South Korea,KOR,3,group stage
2018,T-73,Spain,ESP,4,round of 16
2018,T-74,Sweden,SWE,5,quarter-finals
2018,T-75,Switzerland,CHE,4,round of 16
2018,T-79,Tunisia,TUN,3,group stage
2018,T-84,Uruguay,URY,5,quarter-finals
2022,T-03,Argentina,ARG,7,final
2022,T-04,Australia,AUS,4,round of 16
2022,T-06,Belgium,BEL,3,group stage
2022,T-09,Brazil,BRA,5,quarter-finals
2022,T-11,Cameroon,CMR,3,group stage
2022,T-12,Canada,CAN,3,group stage
2022,T-17,Costa Rica,CRI,3,group stage
2022,T-18,Croatia,HRV,7,third-place match
2022,T-22,Denmark,DNK,3,group stage
2022,T-25,Ecuador,ECU,3,group stage
2022,T-28,England,ENG,5,quarter-finals
2022,T-30,France,FRA,7,final
2022,T-31,Germany,DEU,3,group stage
2022,T-32,Ghana,GHA,3,group stage
2022,T-38,Iran,IRN,3,group stage
2022,T-44,Japan,JPN,4,round of 16
2022,T-46,Mexico,MEX,3,group stage
2022,T-47,Morocco,MAR,7,third-place match
2022,T-48,Netherlands,NLD,5,quarter-finals
2022,T-57,Poland,POL,4,round of 16
2022,T-58,Portugal,PRT,5,quarter-finals
2022,T-59,Qatar,QAT,3,group stage
2022,T-63,Saudi Arabia,SAU,3,group stage
2022,T-65,Senegal,SEN,4,round of 16
2022,T-66,Serbia,SRB,3,group stage
2022,T-71,South Korea,KOR,4,round of 16
2022,T-73,Spain,ESP,4,round of 16
2022,T-75,Switzerland,CHE,4,round of 16
2022,T-79,Tunisia,TUN,3,group stage
2022,T-83,United States,USA,4,round of 16
2022,T-84,Uruguay,URY,3,group stage
2022,T-85,Wales,WAL,3,group stage
